applying-for-a-driver_s-licence,get-your-bc-services-card,driving-and-basic-insurance,finding-a-place-to-rent,register-for-english-classes,registering-your-child-in-a-public-school,the-interim-federal-health-program-refugees-and-refugee-claimants,contact-workers-at-your-local-settlement-agency
9507554,9507554,9507554,,26790785,57469497,,9493400
9508454,9508454,9508454,,54426955,57469524,,47514198
9508701,9508701,9508701,,55306515,57469858,,49210986
9509036,9509036,9509036,,9490153,57470177,,49210988
9509255,9509255,9509255,,9505608,57470295,,9508249
9509256,9509256,9509256,,48464044,57470357,,58456011
9509257,9509257,9509257,,48464062,9492476,,9492695
9510060,9510060,9510060,,51265351,9815447,,9508530
9510129,9510129,9510129,,53935325,9507341,,45295946
,,,,58605990,39330154,,49225168
,,,,48932510,57469440,,9505989
,,,,48932539,57469514,,54789645
,,,,9487565,57469772,,52722142
,,,,54741358,9492205,,54679264
,,,,9509063,9493094,,9638907
,,,,9489915,57469520,,9652890
,,,,45821467,9508481,,9493064
,,,,54156188,9490403,,10672805
,,,,9509103,57469530,,34503121
,,,,52704934,41276127,,34518622
,,,,54679247,9488488,,46512997
,,,,54226508,57469771,,9492339
,,,,41666457,9491427,,9492340
,,,,47927390,17211387,,9492470
,,,,,50140875,,9492606
,,,,,57473903,,9492608
,,,,,26536995,,9492609
,,,,,51294264,,9492861
,,,,,57470096,,9508853
,,,,,57470161,,9509135
,,,,,9491417,,9509472
,,,,,57470339,,17203043
,,,,,9507574,,9488267
,,,,,57469806,,9493541
,,,,,9491297,,54038491
,,,,,,,33360288
,,,,,,,40210610
,,,,,,,48464047
,,,,,,,58443255
,,,,,,,9491297
,,,,,,,54226508
,,,,,,,53262501
